ticker,company_name,market,holding_status,quantity,avg_cost,currency,target_weight,thesis,risk_notes,priority
005930,삼성전자,KRX,HOLD,800,68500,KRW,12%,HBM3E 양산 본격화로 메모리 ASP 상승 + 파운드리 흑자전환 기대,중국 규제 강화 시 수출 차질 / 파운드리 적자 장기화,HIGH
000660,SK하이닉스,KRX,HOLD,200,178000,KRW,10%,HBM 점유율 1위 유지 + AI 서버 DRAM 수요 구조적 확대,고객 집중도 높음(엔비디아) / CAPEX 부담,HIGH
105560,KB금융,KRX,HOLD,300,82000,KRW,8%,ROE 10%대 안착 + 밸류업 자사주 소각 정책 수혜 / PBR 0.6배 저평가,가계부채 부실화 리스크 / 금리 인하 폭 과도 시 NIM 축소,HIGH
055550,신한지주,KRX,HOLD,400,48500,KRW,6%,배당성향 확대 + 글로벌 네트워크 수익 안정성,부동산 PF 잠재 부실 / 환율 변동성,MEDIUM
005380,현대차,KRX,HOLD,150,215000,KRW,7%,하이브리드·전기차 라인업 전환 + 미국 공장 관세 리스크 부분 헤지,EV 전환 비용 과다 / 미국 IRA 혜택 변동,HIGH
JPM,JPMorgan Chase,NYSE,HOLD,50,198.5,USD,9%,최대 IB 수익 + 소비자 대출 포트폴리오 방어적 구조 / FCF 강건,미국 경기침체 시 신용손실 급증 / 규제 자본 강화,HIGH
BRK.B,Berkshire Hathaway B,NYSE,HOLD,80,365.0,USD,8%,현금 3,000억달러 이상 대기 + 보험 언더라이팅 이익 사상 최대,버핏 이후 승계 불확실성 / 대형 인수 실패 리스크,MEDIUM
CVX,Chevron,NYSE,HOLD,60,152.0,USD,6%,FCF 수익률 8%대 + 자사주 매입 프로그램 지속 / 허스 인수 통합 완료,WTI 60달러 이하 시 FCF 급감 / 허스 자산 품질 불확실,MEDIUM
UNH,UnitedHealth Group,NYSE,HOLD,25,490.0,USD,7%,PBM+보험+데이터 수직통합 구조 / 노령화 수혜 장기 성장,약가 개혁 입법 리스크 / 메디케어 어드밴티지 환급률 삭감,HIGH
GOOGL,Alphabet,NASDAQ,HOLD,70,168.0,USD,8%,광고 회복 + 클라우드 흑자 전환 + Gemini AI 수익화 초기,DOJ 반독점 분리 명령 리스크 / AI 경쟁 심화,HIGH
CASH,현금성자산,MIXED,CASH,0,1.0,KRW+USD,9%,변동성 대응 및 매수 여력 확보,-,LOW
